001,"Mark Ronson, Desus & Mero",07/12/2015,"Rashida Jones
Mark Ronson
Desus Nice
The Kid Mero",—,Mark Ronson discusses his personal history and career.
002,"Florence Welch, Another Round",07/26/2015,"Rashida Jones
Tracy Clayton
Heben Nigatu
Florence Welch
Mairead Nash",—,Discussion of the London mid-2000s Thames Beat scene.
003,In L.A. with Azealia Banks,08/09/2015,Azealia Banks,—,"First appearance of Jake Longstreth, first mention of the Grateful Dead."
004,With Jamie Foxx,08/23/2015,"Demi Adejuyigbe
Jamie Foxx",—,Jake's intro to the Eagles.
005,Emma Koenig & Ethan Silverman,09/06/2015,"Ethan Silverman
Emma Koenig",—,Jake's intro to Guided By Voices.
006,Jake and Dave Longstreth,09/20/2015,"Emma Koenig
Dave Longstreth",1985,Jake's intro to Thin Lizzy.
007,Rashida Jones,10/04/2015,Rashida Jones,1979,"New York News, first mention of ""Eileen's car"", Jake discusses Fleetwood Mac's Tusk ."
008,Jonah Hill & ILoveMakonnen,10/18/2015,"Jonah Hill
iLoveMakonnen",—,Return to New York City.
009,Jerrod Carmichael & Rashida Jones,11/01/2015,"Rashida Jones
Jerrod Carmichael
Seinfeld2000",—,"Spooky music, Meat Loaf's ""I'd Do Anything for Love (But I Won't Do That)"", and a call from Seinfeld2000."
010,Seinfeld and Starbucks,11/15/2015,"Joe Mande
Seinfeld2000
Dev Hynes",2005,"The War on Christmas, Seinfeld2000's revenge, Shania Twain, and political songs."
011,Chromeo's Dave 1,11/29/2015,"Dave Macklovitch
Seinfeld2000
Desus Nice
The Kid Mero",—,"New Kids On the Block, the Canadian hip-hop scene, family, getting jacked, and an evil plot from Seinfeld2000."
012,Alana Haim & Jerrod Carmichael,12/13/2015,"Emma Koenig
Alana Haim
Jerrod Carmichael",2015 Song of the Year GRAMMY nominations,"Everyone's top three songs of 2015, Jake's LA rock block, and the GRAMMYs."
013,Christmas Special,12/26/2015,"Rashida Jones
Alana Haim",Top Five Christmas Digital Downloads,"Ezra and Jake talk Christmas and seasonal songs, friends and fans call in."
014,The Campaign Trail,01/31/2016,"McKay Coppins
Dan Schnur 
Luis Calderin 
Jake Longstreth
Dave Longstreth
Iowa Hawkapellas
Kenny Lucas
Keith Lucas
Chris Tomson",—,"Ezra talks politics and Bernie Sanders, then flies to Iowa City to perform at a Sanders rally."
015,Town Hall,04/10/2016,"Shelby Fero
Aisha Siddiqui
Eric Yahnker
The Kid Mero
Brandon Wardell
Dave Macklovitch
Desus Nice
Kevin Kusatsu",—,"Ezra asks his guests about their political stance, opinions on Bernie Sanders, and who they'll vote for in the presidential election."
016,A Tribute to Prince,04/24/2016,"Dave Macklovitch
Zachary Lipez
iLoveMakonnen
Rashida Jones",1968,Ezra squashes some Twitter beef and dives into a disappointing Top Five with Jake.
017,Ariel Rechtshaid,05/08/2016,"Nikki Mayard
Ariel Rechtshaid
Seinfeld2000",—,"Deep dive on Beyoncé's ""Hold Up"", Vampire Weekend's ""Step"", and Usher's ""Climax"". First in-studio appearance of Seinfeld2000."
018,New York Style,05/22/2016,"Jake Longstreth
Mordechai Rubinstein
Rashida Jones",—,"The Crew talks songs of the summer, Mister Mort stops by to talk fashion, and Jake calls to talk Doritos and Pepsi."
019,Harambe & PepsiCo,06/05/2016,"Jonah Hill
Jake Longstreth",—,"Harambe, Juggalos, 1999, and Pepsi in the Soviet Union."
020,Grizzly Bear's Ed Droste,06/19/2016,Ed Droste,1968,"The rise and fall of Smash Mouth and Phil Collins, the history of the N.R.A., and the hits of 1968. Origin of In My Neighborhood."
021,4th of July Spectacular,07/03/2016,—,—,Billboard's most prominent artists from each of the 50 states.
022,With Mike D,07/17/2016,Mike D,1968,"Songs of the summer 2006, 1996, and 1986."
023,Primary Season,07/31/2016,—,1992,"Smash Mouth's new single, the playlists of the Democratic and Republican National Conventions, and the anniversary of the Eagles' breakup."
024,Olympics Fever,08/14/2016,—,1984,Music of the Olympic games and optimistically sentimental music of the 1980s.
025,Jerrod Carmichael,08/28/2016,Jerrod Carmichael,College Music Journal chart,"Cutthroat fashion, songs of the summer, and spending holidays alone."
026,Fashion Week,09/11/2016,"Jake Longstreth
Mordechai Rubinstein",—,"Despot gets fish-hooked, Fritos, Oreos, and summer fashion."
027,Where Are They Now?,09/25/2016,—,1968,"Second careers of notable musicians, ""Hey Jude"", and Home Depot music."
028,Flamin’ Hot Cheetos,10/09/2016,"Chris Baio
Michael Moss",1976,"Sweet, sour, and spicy snacks; novelty songs from the '70s."
029,Old Dudes and Snack Foods,10/23/2016,—,—,"Phil Collins' beef with Paul McCartney, Bob Dylan's Nobel Prize, Bruce Springsteen's ""Streets of Philadelphia""."
030,Frito-Lay's Jennifer Saenz,11/06/2016,"Felix Biederman
Jennifer Saenz",1964,"Presidential election, Frito-Lay, U2, and songs about car crashes."
031,Trump Wins,11/20/2016,—,1968,"Reflections on the election, Leonard Cohen's ""Hallelujah"" deep dive."
032,What is a Liberal?,12/04/2016,"Connor Kilpatrick
Reihan Salam",1967,"Liberalism, John Lennon's ""Imagine"" deep dive, and the Big Mac."
033,East Meets West,12/18/2016,"Despot
Jonah Hill
Mike D
Connor Kilpatrick",#1 hits of 2016 & 1968,"Socialist Christmas, coffee with Ivanka Trump, getting jacked, and Adam Curtis' 2016 documentary."
034,The Chrismukkah Show,12/24/2016,"Mike D
Jonah Hill",—,"Holiday-themed special: Hanukkah, latkes, and favorite tracks of 2016."
035,Coca-Cola & The Founder,01/29/2017,Bart Elmore,1981,"Frasier & Parks and Recreation theme songs, Coca-Cola, The Founder, Starbucks, ""Jonathan Low"", & bedsheets."
036,GRAMMY Special,02/12/2017,David & Stacy Berkowitz,1981 GRAMMY Song of the Year nominations,"Gym music, Flamin' Hot bagels, listener questions, and the GRAMMYs."
037,Oscars & Corporate Playlists,02/26/2017,"John Crooke
Julia Cummings",1981 Academy Award for Best Original Song nominations,"GRAMMYs recap, PlayNetwork retail music playlists, and Oscars music."
038,The Rock vs. Vin Diesel 2020,03/12/2017,Dave Longstreth,1981,"Vin Diesel's ""It Ain't Me"" cover, celebrities running for office, Jake's Home Depot Playlist, ""Shape of You"" deep dive."
039,The Seinfeld Theme Song,03/22/2017,"Raj Haldar
Jonathan Wolff",1989,"Drake shouts out the Dead, racism under Trump, the Seinfeld theme song, and ""The Living Years""."
040,About That Pepsi Ad,04/09/2017,Desus Nice,1984,"Kurt Cobain's death, Kendall Jenner's Pepsi ad, and another ""Shape of You"" deep dive."
041,Coachella Vibes,04/23/2017,—,1969,"Coachella, GBV, Wendy's' ""fresh"" burgers, Harry Styles, and Thom Yorke's ""beef"" with Bruno Mars."
042,Let's Talk Niall Horan,05/07/2017,—,1976,"Desert Island Modelos, the McCartney/Lennon dichotomy, Niall Horan's pursuit of Don Henley's vibe sparks an elaborate fantasy where Jake runs a hardware store in Nantucket and ends up befriending 1D."
043,NYC with Lizzy Goodman,05/21/2017,Lizzy Goodman,—,"The New York City rock scene from 2001-2011, including The Strokes."
044,Post-Punk,06/04/2017,—,1967,"5 Hour Energy, the Dead, and Jake's workout playlist"
